Video,Duong dan,Thoi gian,Bien so
1,D:/ANPR-main/result_data\vid1\Licenseplate_109_0.jpg,3.0,"12A-035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_110_0.jpg,3.0,"12A-035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_111_0.jpg,3.0,"12A-035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_112_0.jpg,3.0,"12A-035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_113_0.jpg,3.0,"424-035,00"
1,D:/ANPR-main/result_data\vid1\Licenseplate_114_0.jpg,3.0,124-03504]
1,D:/ANPR-main/result_data\vid1\Licenseplate_115_0.jpg,3.0,"12A*035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_116_0.jpg,3.0,"1241035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_117_0.jpg,3.0,"02A-035,00]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_118_0.jpg,3.0,"12A -035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_119_0.jpg,3.0,124 03504
1,D:/ANPR-main/result_data\vid1\Licenseplate_120_0.jpg,4.0,"121-035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_121_0.jpg,4.0,"12A-035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_122_0.jpg,4.0,"12A.035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_123_0.jpg,4.0,02A-035.00]
1,D:/ANPR-main/result_data\vid1\Licenseplate_124_0.jpg,4.0,12A-035004]
1,D:/ANPR-main/result_data\vid1\Licenseplate_125_0.jpg,4.0,"121.035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_126_0.jpg,4.0,"12A-035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_127_0.jpg,4.0,"12A-035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_128_0.jpg,4.0,124-035104]
1,D:/ANPR-main/result_data\vid1\Licenseplate_129_0.jpg,4.0,024-035.041
1,D:/ANPR-main/result_data\vid1\Licenseplate_130_0.jpg,4.0,124 035004|
1,D:/ANPR-main/result_data\vid1\Licenseplate_131_0.jpg,4.0,[2A 035.04|
1,D:/ANPR-main/result_data\vid1\Licenseplate_132_0.jpg,4.0,"[124 035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_133_0.jpg,4.0,12A
1,D:/ANPR-main/result_data\vid1\Licenseplate_134_0.jpg,4.0,"024-035.,041"
1,D:/ANPR-main/result_data\vid1\Licenseplate_135_0.jpg,4.0,124-035.04
1,D:/ANPR-main/result_data\vid1\Licenseplate_136_0.jpg,4.0,124-035.04
1,D:/ANPR-main/result_data\vid1\Licenseplate_137_0.jpg,4.0,124 035.04]
1,D:/ANPR-main/result_data\vid1\Licenseplate_138_0.jpg,4.0,124 .035.04]
1,D:/ANPR-main/result_data\vid1\Licenseplate_139_0.jpg,4.0,024035.04|
1,D:/ANPR-main/result_data\vid1\Licenseplate_140_0.jpg,4.0,"[2A 035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_141_0.jpg,4.0,124-035.04|
1,D:/ANPR-main/result_data\vid1\Licenseplate_142_0.jpg,4.0,[124 035.041
1,D:/ANPR-main/result_data\vid1\Licenseplate_143_0.jpg,4.0,124-035.04|
1,D:/ANPR-main/result_data\vid1\Licenseplate_144_0.jpg,4.0,0124-035.041
1,D:/ANPR-main/result_data\vid1\Licenseplate_145_0.jpg,4.0,124-035.04| 
1,D:/ANPR-main/result_data\vid1\Licenseplate_146_0.jpg,4.0,[124-035.041
1,D:/ANPR-main/result_data\vid1\Licenseplate_147_0.jpg,4.0,02A-035.041
1,D:/ANPR-main/result_data\vid1\Licenseplate_148_0.jpg,4.0,"124.035,041"
